MS,MS Name,CCI,Ver,Programme Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
FR,France,2014FR16M0OP009,3.2,Guadeloupe - ERDF/ESF/YEI,ESF,13,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,3470773,867693,4338466,80
FR,France,2014FR16M0OP011,4.3,Martinique - ERDF/ESF/YEI,ERDF,9,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,19200000,24300000,43500000,44.14
PT,Portugal,2014PT16M2OP001,3.2,Norte - ERDF/ESF,ERDF,7,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,129861737,27390824,157252561,82.58
FR,France,2014FR16M0OP004,5.2,Champagne-Ardenne - ERDF/ESF/YEI,ERDF,2,02,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,21986000,32979000,54965000,40
PT,Portugal,2014PT16M2OP003,3.1,Alentejo - ERDF/ESF,ERDF,4,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Less developed,VOID,VOID,VOID,VOID,25291187,4463152,29754339,85
FR,France,2014FR16M0OP011,4.3,Martinique - ERDF/ESF/YEI,YEI,8 (1),08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,VOID,VOID,VOID,VOID,7562202,2468853,10031055,75.39
PT,Portugal,2014PT16M3OP001,4.1,Competitiveness and Internationalisation  - PT - ERDF/ESF/CF,CF,IV,07,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,VOID,VOID,VOID,VOID,VOID,609000000,107470589,716470589,85
PT,Portugal,2014PT16M2OP003,3.1,Alentejo - ERDF/ESF,ESF,5,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Less developed,VOID,VOID,VOID,VOID,52414770,9808080,62222850,84.24
ES,Spain,2014ES05SFOP019,1.2,Cantabria - ESF,ESF,1A,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,16354365,16354365,32708730,50
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5B,Energy efficiency,989672.17,116836.35,1106508.52,89.44
EE,Estonia,2014EE16M3OP001,4.1,Cohesion Policy Funding - EE - ERDF/ESF/CF,ERDF,5,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Less developed,VOID,VOID,VOID,VOID,296899793,54699699,351599492,84.44
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M14,Animal welfare,FA_3A,Competitiveness of producers,112724205,5069386.78,117793591.78,95.7
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,302100975.23,76499468.07,378600443.3,79.79
FR,France,2014FR16M0OP004,5.2,Champagne-Ardenne - ERDF/ESF/YEI,ESF,6,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,31332006,31332006,62664012,50
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M05,Restoring agricultural potential,FA_3B,Risk management,17344524,3676807.94,21021331.94,82.51
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P4,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_P4,Priority 4,8283477,1755986.91,10039463.91,82.51
PT,Portugal,2014PT16M2OP003,3.1,Alentejo - ERDF/ESF,ERDF,2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,53800032,9494124,63294156,85
PT,Portugal,2014PT16M2OP001,3.2,Norte - ERDF/ESF,ERDF,8,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,177748474,31367378,209115852,85
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M12,NAT 2000 & WFD,FA_P4,Priority 4,58944439.64,19648146.54,78592586.18,75
EE,Estonia,2014EE16M3OP001,4.1,Cohesion Policy Funding - EE - ERDF/ESF/CF,CF,7,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,VOID,VOID,VOID,VOID,191982579,33879280,225861859,85
FR,France,2014FR16M0OP011,4.3,Martinique - ERDF/ESF/YEI,ERDF,2,02,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Less developed,VOID,VOID,VOID,VOID,39000000,77651828,116651828,33.43
FR,France,2014FR16M0OP009,3.2,Guadeloupe - ERDF/ESF/YEI,ERDF,12,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,20873851,5218463,26092314,80
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,12857292.75,4285764.25,17143057,75
PT,Portugal,2014PT16M2OP001,3.2,Norte - ERDF/ESF,ERDF,9,02,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Less developed,VOID,VOID,VOID,VOID,32247872,5690801,37938673,85
PT,Portugal,2014PT16M2OP003,3.1,Alentejo - ERDF/ESF,ESF,2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,101962219,17993334,119955553,85
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M08,Forest,FA_P4,Priority 4,2670000,566004.44,3236004.44,82.51
PT,Portugal,2014PT16M3OP001,4.1,Competitiveness and Internationalisation  - PT - ERDF/ESF/CF,ERDF,II,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Less developed,VOID,VOID,VOID,VOID,1643853759,958647604,2602501363,63.16
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2B,New farmers,105707790.34,19818674.36,125526464.7,84.21
PT,Portugal,2014PT16M2OP001,3.2,Norte - ERDF/ESF,ERDF,5,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Less developed,VOID,VOID,VOID,VOID,173459679,30610532,204070211,85
EE,Estonia,2014EE16M3OP001,4.1,Cohesion Policy Funding - EE - ERDF/ESF/CF,ERDF,2,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,218251035,97990599,316241634,69.01
PL,Poland,2014PL16M2OP007,3,Mazowieckie Voivodeship - ERDF/ESF,ERDF,I,01,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,278217130,69554283,347771413,80
PT,Portugal,2014PT16M2OP007,3.2,Algarve - ERDF/ESF,ERDF,1,01,Research & Innovation,"Strengthening research, technological development and innovation",Transition,VOID,VOID,VOID,VOID,38852738,12950913,51803651,75
FR,France,2014FR16M0OP009,3.2,Guadeloupe - ERDF/ESF/YEI,ERDF,08,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",Outermost or Northern Sparsely Populated,VOID,VOID,VOID,VOID,52784542,13196136,65980678,80
EE,Estonia,2014EE16M3OP001,4.1,Cohesion Policy Funding - EE - ERDF/ESF/CF,ERDF,11,02,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Less developed,VOID,VOID,VOID,VOID,84435976,14900467,99336443,85
FR,France,2014FR16M0OP004,5.2,Champagne-Ardenne - ERDF/ESF/YEI,ERDF,5,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,5915000,5915000,11830000,50
FR,France,2014FR16M0OP011,4.3,Martinique - ERDF/ESF/YEI,ERDF,5,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",Outermost or Northern Sparsely Populated,VOID,VOID,VOID,VOID,46600000,70291000,116891000,39.87
PL,Poland,2014PL16M2OP007,3,Mazowieckie Voivodeship - ERDF/ESF,ESF,IX,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,172908433,43227109,216135542,80
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5D,Reducing GHG and NH3,15486182,2480619.81,17966801.81,86.19
FR,France,2014FR16M0OP004,5.2,Champagne-Ardenne - ERDF/ESF/YEI,ERDF,5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,5915000,5915000,11830000,50
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M07,Basic services,FA_6B,Local development,230075046,48772845.98,278847891.98,82.51
FR,France,2014FR16M0OP004,5.2,Champagne-Ardenne - ERDF/ESF/YEI,ERDF,5,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,14789000,22183500,36972500,40
PT,Portugal,2014PT16M3OP001,4.1,Competitiveness and Internationalisation  - PT - ERDF/ESF/CF,ERDF,VI,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,114500000,20205883,134705883,85
DE,Germany,2014DE16RFOP002,2,Bayern - ERDF,ERDF,5,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,58000000,58000000,116000000,50
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5E,Carbon conservation / sequestration,2934814.06,346471.06,3281285.12,89.44
IT,Italy,2015IT16RFSM001,2,SME Initiative - IT - ERDF,ERDF,1,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Less developed,VOID,VOID,VOID,VOID,294840000,0,294840000,100
FR,France,2014FR16M0OP011,4.3,Martinique - ERDF/ESF/YEI,ERDF,7,07,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,Less developed,VOID,VOID,VOID,VOID,44000000,82108000,126108000,34.89
FR,France,2014FR16M0OP009,3.2,Guadeloupe - ERDF/ESF/YEI,ERDF,08,07,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,Outermost or Northern Sparsely Populated,VOID,VOID,VOID,VOID,10000000,2500000,12500000,80
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M08,Forest,FA_P4,Priority 4,2670000,566004.44,3236004.44,82.51
PT,Portugal,2014PT16M2OP003,3.1,Alentejo - ERDF/ESF,ERDF,10,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,30665000,5411471,36076471,85
FR,France,2014FR16M0OP004,5.2,Champagne-Ardenne - ERDF/ESF/YEI,ERDF,8,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,6354137,6354137,12708274,50
PT,Portugal,2014PT16M2OP007,3.2,Algarve - ERDF/ESF,ERDF,9,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,12000000,3000000,15000000,80
CZ,Czechia,2014CZ16M2OP001,5,Prague Growth Pole - ERDF/ESF,ESF,5,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,8063604,8063604,16127208,50
PT,Portugal,2014PT16M2OP001,3.2,Norte - ERDF/ESF,ERDF,6,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Less developed,VOID,VOID,VOID,VOID,79529474,17187359,96716833,82.23
PT,Portugal,2014PT16M2OP007,3.2,Algarve - ERDF/ESF,ESF,5,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,36720000,9180000,45900000,80
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5B,Energy efficiency,227891748.9,70377421.3,298269170.2,76.4
PT,Portugal,2014PT16M2OP003,3.1,Alentejo - ERDF/ESF,ERDF,9,02,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Less developed,VOID,VOID,VOID,VOID,6697579,1181926,7879505,85
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M13,Areas with natural constraints,FA_P4,Priority 4,12857292.76,4285764.26,17143057.02,75
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P6,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M06,Farm and business development,FA_6A,"Diversification, SMEs and job creation",132498179,28087849.26,160586028.26,82.51
PL,Poland,2014PL16M2OP007,3,Mazowieckie Voivodeship - ERDF/ESF,ERDF,VII,07,Network Infrastructures in Transport and Energy,Promoting sustainable transport and removing bottlenecks in key network infrastructures,More developed,VOID,VOID,VOID,VOID,311110711,77777678,388888389,80
PT,Portugal,2014PT16M2OP001,3.2,Norte - ERDF/ESF,ERDF,10,TA,Technical Assistance,Technical Assistance,Less developed,VOID,VOID,VOID,VOID,83735000,14776765,98511765,85
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,363994369.64,77161958.48,441156328.12,82.51
PT,Portugal,2014PT16M2OP007,3.2,Algarve - ERDF/ESF,ERDF,8,02,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Transition,VOID,VOID,VOID,VOID,9290000,2322500,11612500,80
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,302100975.22,76499468.06,378600443.28,79.79
FR,France,2014FR16M0OP004,5.2,Champagne-Ardenne - ERDF/ESF/YEI,YEI,7,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,VOID,VOID,VOID,VOID,16755224,8377612,25132836,66.67
EE,Estonia,2014EE16M3OP001,4.1,Cohesion Policy Funding - EE - ERDF/ESF/CF,ERDF,1,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,215718271,38067931,253786202,85
FR,France,2014FR16M0OP011,4.3,Martinique - ERDF/ESF/YEI,ERDF,5,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Outermost or Northern Sparsely Populated,VOID,VOID,VOID,VOID,45000000,52940000,97940000,45.95
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M15,Forest-environment,FA_P4,Priority 4,19384200,6461400,25845600,75
EE,Estonia,2014EE16M3OP001,4.1,Cohesion Policy Funding - EE - ERDF/ESF/CF,ESF,1,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,192940211,34048273,226988484,85
PT,Portugal,2014PT16M2OP003,3.1,Alentejo - ERDF/ESF,ERDF,8,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,Less developed,VOID,VOID,VOID,VOID,83114962,14667347,97782309,85
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P6,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M04,Physical Investment,FA_6A,"Diversification, SMEs and job creation",54488893.35,11550919.91,66039813.26,82.51
PT,Portugal,2014PT16M3OP001,4.1,Competitiveness and Internationalisation  - PT - ERDF/ESF/CF,ERDF,I,01,Research & Innovation,"Strengthening research, technological development and innovation",Less developed,VOID,VOID,VOID,VOID,1456565440,750945587,2207511027,65.98
FR,France,2014FR16M0OP011,4.3,Martinique - ERDF/ESF/YEI,ESF,10(1),10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,32100000,15600000,47700000,67.3
EE,Estonia,2014EE16M3OP001,4.1,Cohesion Policy Funding - EE - ERDF/ESF/CF,ESF,12,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Less developed,VOID,VOID,VOID,VOID,29807451,5260139,35067590,85
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M03,Quality schemes,FA_3A,Competitiveness of producers,27705216,5873136.8,33578352.8,82.51
CZ,Czechia,2014CZ16M2OP001,5,Prague Growth Pole - ERDF/ESF,ERDF,1,01,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,62492932,62492932,124985864,50
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P4,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_P4,Priority 4,12036766.85,1421007.13,13457773.98,89.44
NL,Netherlands,2014NL14MFOP001,2.1,Maritime and Fisheries - Netherlands,EMFF,,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,VOID,VOID,VOID,VOID,21003730,5346206.04,26349936.04,79.71
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M11,Organic Farming,FA_P4,Priority 4,82706338.49,21093013.83,103799352.32,79.68
EE,Estonia,2014EE16M3OP001,4.1,Cohesion Policy Funding - EE - ERDF/ESF/CF,ERDF,4,01,Research & Innovation,"Strengthening research, technological development and innovation",Less developed,VOID,VOID,VOID,VOID,622934131,315902405,938836536,66.35
IT,Italy,2015IT16RFSM001,2,SME Initiative - IT - ERDF,ERDF,1,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Transition,VOID,VOID,VOID,VOID,25160000,2500000,27660000,90.96
FR,France,2014FR16M0OP009,3.2,Guadeloupe - ERDF/ESF/YEI,ERDF,07,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,22600000,12169231,34769231,65
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M09,Producer groups / organisations,FA_3A,Competitiveness of producers,32551055.15,3842832.84,36393887.99,89.44
FR,France,2014FR06RDRP003,7,Guyane - Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M03,Quality schemes,FA_3A,Competitiveness of producers,90000,15882.35,105882.35,85
FR,France,2014FR06RDRP003,7,Guyane - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,1970040.5,347654.21,2317694.71,85
NL,Netherlands,2014NL06RDNP001,5.1,Netherlands - National Rural Development,EAFRD,P2,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2A,Farm performance,37500000,24300000,61800000,60.68
ES,Spain,2014ES16RFOP013,3,Valenciana - ERDF,ERDF,06,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,78380000,78380000,156760000,50
IT,Italy,2014IT06RDRP007,5.1,Lombardia - Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5E,Carbon conservation / sequestration,86240,113760,200000,43.12
IT,Italy,2014IT06RDRP007,5.1,Lombardia - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M08,Forest,FA_P4,Priority 4,6468000,8532000,15000000,43.12
IT,Italy,2014IT06RDRP007,5.1,Lombardia - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,12936000,17064000,30000000,43.12
FR,France,2014FR06RDRP003,7,Guyane - Rural Development,EAFRD,P2,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2C+,Programme Specific (1),245000,43235.29,288235.29,85
FR,France,2014FR06RDRP003,7,Guyane - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,6901000,1217823.53,8118823.53,85
PT,Portugal,2014PT16M2OP007,3.2,Algarve - ERDF/ESF,ERDF,6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,11100000,2775000,13875000,80
PT,Portugal,2014PT16M2OP001,3.2,Norte - ERDF/ESF,ERDF,3,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Less developed,VOID,VOID,VOID,VOID,186767811,35480034,222247845,84.04
PL,Poland,2014PL16M2OP007,3,Mazowieckie Voivodeship - ERDF/ESF,ERDF,III,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,196343025,49085757,245428782,80
FR,France,2014FR16M0OP004,5.2,Champagne-Ardenne - ERDF/ESF/YEI,ESF,9,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,1580245,1580245,3160490,50
PL,Poland,2014PL16M2OP007,3,Mazowieckie Voivodeship - ERDF/ESF,ESF,VIII,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,140702055,35175514,175877569,80
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_2A,Farm performance,348038530.29,65544912.31,413583442.6,84.15
PL,Poland,2014PL16M2OP007,3,Mazowieckie Voivodeship - ERDF/ESF,ERDF,IV,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,400647506,100161877,500809383,80
FR,France,2014FR16M0OP004,5.2,Champagne-Ardenne - ERDF/ESF/YEI,ERDF,1,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,40599000,95569000,136168000,29.82
FR,France,2014FR16M0OP009,3.2,Guadeloupe - ERDF/ESF/YEI,YEI,10,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,VOID,VOID,VOID,VOID,7388494,651926,8040420,91.89
PT,Portugal,2014PT16M2OP001,3.2,Norte - ERDF/ESF,ESF,9,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,Less developed,VOID,VOID,VOID,VOID,27981600,4937930,32919530,85
EE,Estonia,2014EE16M3OP001,4.1,Cohesion Policy Funding - EE - ERDF/ESF/CF,CF,6,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,VOID,VOID,VOID,VOID,247071258,286060273,533131531,46.34
EE,Estonia,2014EE16M3OP001,4.1,Cohesion Policy Funding - EE - ERDF/ESF/CF,ERDF,9,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Less developed,VOID,VOID,VOID,VOID,48446642,8549407,56996049,85
EE,Estonia,2014EE16M3OP001,4.1,Cohesion Policy Funding - EE - ERDF/ESF/CF,ERDF,5,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Less developed,VOID,VOID,VOID,VOID,161361627,29728659,191090286,84.44
PT,Portugal,2014PT16M2OP001,3.2,Norte - ERDF/ESF,ESF,6,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Less developed,VOID,VOID,VOID,VOID,147736098,40597281,188333379,78.44
EE,Estonia,2014EE16M3OP001,4.1,Cohesion Policy Funding - EE - ERDF/ESF/CF,ESF,3,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Less developed,VOID,VOID,VOID,VOID,203605301,37447180,241052481,84.47
CZ,Czechia,2014CZ16M2OP001,5,Prague Growth Pole - ERDF/ESF,ESF,4,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,3023852,3023852,6047704,50
PT,Portugal,2014PT16RFTA001,2,Technical Assistance - PT - ERDF,ERDF,1,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,1952668,488168,2440836,80
PT,Portugal,2014PT16M2OP007,3.2,Algarve - ERDF/ESF,ERDF,5,08,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,10000000,2500000,12500000,80
PT,Portugal,2014PT16M2OP007,3.2,Algarve - ERDF/ESF,ESF,6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,31713811,7928453,39642264,80
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M19,LEADER and CLLD,FA_6B,Local development,171533383,20250468.8,191783851.8,89.44
HU,Hungary,2014HU06RDNP001,5.2,Hungary - National Rural Development,EAFRD,P4,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_P4,Priority 4,8652788.82,1021509.74,9674298.56,89.44
PT,Portugal,2014PT16M2OP003,3.1,Alentejo - ERDF/ESF,ERDF,3,01,Research & Innovation,"Strengthening research, technological development and innovation",Less developed,VOID,VOID,VOID,VOID,72904214,22311499,95215713,76.57
