MS,MS Name,CCI,Ver,Programme Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M04,Physical Investment,FA_P4,Priority 4,375000,375000,750000,50
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P3,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,2800000,2800000,5600000,50
IT,Italy,2014IT05M2OP002,4,Governance and Institutional Capacity - IT - ESF/ERDF,ERDF,2,02,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),More developed,VOID,VOID,VOID,VOID,5877518,5877518,11755036,50
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5E,Carbon conservation / sequestration,235000,235000,470000,50
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P2,03,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M06,Farm and business development,FA_2B,New farmers,63475015,15868753.75,79343768.75,80
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M07,Basic services,FA_6B,Local development,21724000,12758539.68,34482539.68,63
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M07,Basic services,FA_6B,Local development,2850000,2850000,5700000,50
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,8712000,5116571.43,13828571.43,63
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,1000000,1000000,2000000,50
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M08,Forest,FA_5E,Carbon conservation / sequestration,2000000,2000000,4000000,50
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_3A,Competitiveness of producers,489000,287190.48,776190.48,63
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5C,Renewable energy,7820000,4592698.41,12412698.41,63
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,426438367,142146122.32,568584489.32,75
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M08,Forest,FA_5E,Carbon conservation / sequestration,189000,111000,300000,63
ES,Spain,2014ES06RDRP016,4.2,La Rioja  - Rural Development,EAFRD,P3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_3A,Competitiveness of producers,235000,235000,470000,50
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M11,Organic Farming,FA_P4,Priority 4,16646250,5548750,22195000,75
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P6,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M19,LEADER and CLLD,FA_6B,Local development,68997158,17249289.5,86246447.5,80
IT,Italy,2014IT05M2OP002,4,Governance and Institutional Capacity - IT - ESF/ERDF,ERDF,2,02,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Less developed,VOID,VOID,VOID,VOID,59040630,14760158,73800788,80
FR,France,2014FR05SFOP003,2,Guyane - ESF,ESF,4,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,30029070,10575248,40604318,73.96
FR,France,2014FR06RDRP083,6.1,Auvergne - Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M10,Agri-environment-climate,FA_5E,Carbon conservation / sequestration,8600000,2866666.67,11466666.67,75
IT,Italy,2014IT05M2OP002,4,Governance and Institutional Capacity - IT - ESF/ERDF,ERDF,3,11,Efficient Public Administration,Enhancing institutional capacity of public authorities and stakeholders and efficient public administration,More developed,VOID,VOID,VOID,VOID,17770160,17770160,35540320,50
